#;CAMINHO NO XML;CAMPO;"REGRAS DE NEGÓCIO PARA A NOTA FISCAL DE SERVIÇO ELETRÔNICA DO 
SISTEMA NACIONAL NFS-e";;;;;;"NÍVEL
DA REGRA";"EMISSORES PÚBLICOS NACIONAIS NFS-e
(SEFIN, WEB, APP)";;ADN NFS-e;;OBSERVAÇÕES DE NEGÓCIO;;;
314;NFSe/infNFSe/DPS/infDPS/serv/locPrest/;cPaisPrestacao;Se informado, o código do país deve existir na tabela de país ISO2 e ser diferente de Brasil (BR).;;Obrig.;Rej.;E0304;Informe um código de país existente e diferente de Brasil (BR), conforme tabela de país do ANEXO_A-MUNICIPIO_IBGE-PAISES_ISO2-SNNFSe-ESPEC.;1;V;V;V;V;-;;;
315;NFSe/infNFSe/DPS/infDPS/serv/;cServ;;;;;;;-;-;-;-;-;-;;;
316;NFSe/infNFSe/DPS/infDPS/serv/cServ/;cTribNac;Verificar se o código de tributação nacional informado existe conforme a lista de serviços nacional do Sistema Nacional NFS-e.;;Obrig.;Rej.;E0310;"O código de tributação nacional informado não existe
conforme a lista de serviços nacional do Sistema Nacional NFS-e.";1;V;X;V;X;-;;;
317;;;"Verificar se o código de tributação nacional informado está administrado pelo município de incidência do ISSQN na data de competência informada na DPS, conforme a lista de serviços nacional do Sistema Nacional NFS-e.

Exceto quando o emitente da DPS for MEI na data de competência da emissão da NFS-e.";;Obrig.;Rej.;E0312;"O código de tributação nacional informado não está administrado pelo município de incidência do ISSQN na data de competência informada na DPS, 
conforme a lista de serviços nacional do Sistema Nacional NFS-e.";3;V;X;X;X;-;;;
318;NFSe/infNFSe/DPS/infDPS/serv/cServ/;cTribMun;"Verificar se o código de tributação municipal informado existe e está administrado pelo município de incidência do ISSQN na data de competência informada na DPS.

Exceto quando o emitente da DPS for MEI na data de competência da emissão da NFS-e.";;Obrig.;Rej.;E0314;O código de tributação municipal informado não existe ou não está administrado pelo município de incidência do ISSQN na data de competência informada na DPS, ;3;V;X;X;X;-;;;
319;;;Não é permitido informar 000 para o codigo de tributação municipal na DPS.;;Obrig.;Rej.;E0315;Não é permitido informar 000 para o codigo de tributação municipal na DPS.;1;V;V;V;V;-;;;
320;NFSe/infNFSe/DPS/infDPS/serv/cServ/;xDescServ;-;;-;-;-;-;-;-;-;-;-;-;;;
321;NFSe/infNFSe/DPS/infDPS/serv/cServ/;cNBS;O código da lista NBS informado na DPS não existe, conforme tabela NBS do ANEXO_B-NBS2-LISTA_SERVICO_NACIONAL-SNNFSe do Manual Integrado do Sistema Nacional NFS-e.;;Obrig.;Rej.;E0316;Código da lista NBS informado inexistente tabela de NBS do sistema.;2;V;X;V;X;-;;;
322;;;"Se o emitente for o prestador (tpEmit = 1) e qualquer um dos campos abaixo for informado na DPS,

País no exterior do endereço do tomador do serviço ou
País no exterior do endereço do intermediário do serviço ou
cPaisPrestacao é informado,

então é obrigatório informar na DPS um  item da NBS.";;Obrig.;Rej.;E0318;É obrigatório informar na DPS um item da NBS para casos de exportação de serviço.;2;V;X;V;X;-;;;
323;;;"Se o emitente for o tomador (tpEmit = 2) ou o intermediário de serviço (tpEmit = 3), e qualquer um dos campos abaixo for informado na DPS

País no exterior do endereço do prestador do serviço ou
cPaisPrestacao é informado,

então é obrigatório informar na DPS um item da NBS.";;Obrig.;Rej.;E0320;É obrigatório informar na DPS um item da NBS para casos de importação de serviço.;2;V;X;V;X;-;;;
324;;;Se o bloco de informações de IBS/CBS (NFSe/infNFSe/DPS/infDPS/IBSCBS) for informado na DPS, então é obrigatório informar na DPS um item da NBS.;;Obrig.;Rej.;E0322;É obrigatório informar na DPS um item da NBS se for declarada qualquer informação de IBS/CBS.;2;V;X;V;X;-;;;
325;NFSe/infNFSe/DPS/infDPS/serv/cServ/;cIntContrib;-;;-;-;-;-;-;-;-;-;-;-;;;
326;NFSe/infNFSe/DPS/infDPS/serv/;comExt;"EXPORTAÇÃO DE SERVIÇO

Se o emitente for o prestador (tpEmit = 1), e qualquer um dos campos abaixo for informado na DPS 

País no exterior do endereço do tomador do serviço,
País no exterior do endereço do intermediário do serviço ou
cPaisPrestacao é informado ou 
tribISSQN for Exportação de serviço (tribISSQN = 3),

então o grupo de informações de comércio exterior devem ser informado.";;Obrig.;Rej.;E0330;É obrigatório prestar informações de comércio exterior para as situações de exportação de serviços.;1;V;X;V;X;-;;;
327;;;"IMPORTAÇÃO DE SERVIÇO 

Se o emitente for o tomador (tpEmit = 2) ou o intermediário de serviço (tpEmit = 3),  e qualquer um dos campos abaixo for informado na DPS

País no exterior do endereço do prestador do serviço ou
cPaisPrestacao é informado,

então o grupo de informações de comércio exterior devem ser informados.";;Obrig.;Rej.;E0331;É obrigatório prestar informações de comércio exterior para as situações de importação de serviços.;1;V;X;V;X;-;;;
328;NFSe/infNFSe/DPS/infDPS/serv/comExt/;mdPrestacao;Se o valor do campo mdPrestacao for 0, então a DPS deve ser rejeitada.;;Obrig.;Rej.;E0333;Valor 0 para o modo de prestação não é permitido na Sefin do Sistema Nacional NFS-e.;2;V;X;X;X;-;;;
329;NFSe/infNFSe/DPS/infDPS/serv/comExt/;vincPrest;-;;-;-;-;-;-;-;-;-;-;-;;;
330;NFSe/infNFSe/DPS/infDPS/serv/comExt/;tpMoeda;-;;-;-;-;-;-;-;-;-;-;-;;;
331;NFSe/infNFSe/DPS/infDPS/serv/comExt/;vServMoeda;-;;-;-;-;-;-;-;-;-;-;-;;;
332;NFSe/infNFSe/DPS/infDPS/serv/comExt/;mecAFComexP;Se o valor do campo mecAFComexP for 0, então a DPS deve ser rejeitada.;;Obrig.;Rej.;E0341;Valor 0 para o Mecanismo de apoio/fomento ao Comércio Exterior utilizado pelo prestador do serviço não é permitido na Sefin do Sistema Nacional NFS-e.;2;V;X;X;X;-;;;
333;NFSe/infNFSe/DPS/infDPS/serv/comExt/;mecAFComexT;Se o valor do campo mecAFComexT for 0, então a DPS deve ser rejeitada.;;Obrig.;Rej.;E0343;Valor 0 para o Mecanismo de apoio/fomento ao Comércio Exterior utilizado pelo tomador do serviço não é permitido na Sefin do Sistema Nacional NFS-e.;2;V;X;X;X;-;;;
334;NFSe/infNFSe/DPS/infDPS/serv/comExt/;movTempBens;Se o valor do campo movTempBens for 0, então a DPS deve ser rejeitada.;;Obrig.;Rej.;E0345;Valor 0 para o Vínculo da Operação à Movimentação Temporária de Bens não é permitido na Sefin do Sistema Nacional NFS-e.;2;V;X;X;X;-;;;
335;NFSe/infNFSe/DPS/infDPS/serv/comExt/;nDI;Se movTempBens = 2, então o preenchimento de nDI é obrigatório;;Obrig.;Rej.;E0352;O preenchimento do campo nDI (Número da Declaração de Importação) é obrigatório quando o campo (movTempBens) Vínculo da Operação à Movimentação Temporária de Bens for igual a 2.;2;V;X;X;X;-;;;
336;;;Se movTempBens = 1, então o preenchimento de nDI e nRE não é permitido;;Obrig.;Rej.;E0354;O preenchimento dos campos nDI (Número da Declaração de Importação) ou do nRE (úmero do Registro de Exportação) não é permitido quando o campo (movTempBens) Vínculo da Operação à Movimentação Temporária de Bens for igual a 1.;2;V;X;X;X;-;;;
337;NFSe/infNFSe/DPS/infDPS/serv/comExt/;nRE;;;;;;;2;V;X;X;X;-;;;
338;;;Se movTempBens = 3, então o preenchimento de nRE é obrigatório;;Obrig.;Rej.;E0356;O preenchimento do campo nRE (úmero do Registro de Exportação) é obrigatório quando o campo (movTempBens) Vínculo da Operação à Movimentação Temporária de Bens for igual a 3.;2;V;X;X;X;-;;;
339;NFSe/infNFSe/DPS/infDPS/serv/comExt/;mdic;-;;-;-;;-;-;-;-;-;-;-;;;
340;NFSe/infNFSe/DPS/infDPS/serv;obra; Se o código de tributação nacional pertencer a um dos subitens, 07.02.01, 07.02.02, 07.04.01, 07.05,01, 07.05.02, 07.06.01, 07.06.02, 07.07.01, 07.08.01, 07.17.01, 07.19.01, 14.14.03 e 14.14.04 da lista de serviços, então o grupo de informações de obra é obrigatório.;;Obrig.;Rej.;E0370;O grupo de informações de obra é obrigatório quando o código de tributação nacional pertencer a um dos subitens 07.02.01, 07.02.02, 07.04.01, 07.05,01, 07.05.02, 07.06.01, 07.06.02, 07.07.01, 07.08.01, 07.17.01, 07.19.01, 1414.03 e 14.14.04 da lista de serviços.;1;V;X;V;X;-;;;
341;;;"Se o código de tributação nacional não pertencer a algum dos subitens 07.02.01, 07.02.02, 07.04.01, 07.05,01, 07.05.02, 07.06.01, 07.06.02, 07.07.01, 07.08.01, 07.17.01, 07.19.01, 14.14.03 e 14.14.04 da lista de serviços, então o grupo de informações de obra não é permitido.
*Exceção: O grupo de informações de obra pode ser informado se o código de tributação nacional for o 99.01.01.";;Obrig.;Rej.;E0372;O grupo de informações de obra não é permitido quando o código de tributação nacional não pertencer a algum dos subitens 07.02.01, 07.02.02, 07.04.01, 07.05,01, 07.05.02, 07.06.01, 07.06.02, 07.07.01, 07.08.01, 07.17.01, 07.19.01, 1414.03 e 14.14.04 da lista de serviços, com exceção do código 99.01.01.;1;V;X;V;X;-;;;
342;NFSe/infNFSe/DPS/infDPS/serv/obra/;inscImobFisc;-;;-;-;-;-;-;-;-;-;-;-;;;
343;NFSe/infNFSe/DPS/infDPS/serv/obra/;cObra;-;;-;-;-;-;-;-;-;-;-;-;;;
344;NFSe/infNFSe/DPS/infDPS/serv/obra/;cCIB;Código do Cadastro Imobiliário Brasileito - CIB deve ser um código válido - 7 caracteres + DV;;Obrig.;Rej.;E0373;Código CIB inválido.;-;V;X;V;X;-;;;
345;NFSe/infNFSe/DPS/infDPS/serv/obra/;end;-;;-;-;-;-;-;-;-;-;-;-;;;
346;NFSe/infNFSe/DPS/infDPS/serv/obra/end/;CEP;O CEP a ser informa para endereço da obra deve pertencer ao município que foi informado como local da prestação do serviço.;;Obrig.;Rej.;E0380;Informe um CEP correspondente ao município do local da prestação do serviço informado nesta DPS para indicar corretamente o endereço da obra.;1;V;X;V;X;-;;;
347;;;Se o pais da prestação do serviço de obra foi informado (cPaisPrestacao foi informado), então o CEP não pode ser informado.;;Obrig.;Rej.;E0382;O CEP não deve ser informado quando o endereço da obra ocorrer no exterior do país.;1;V;X;V;X;-;;;
348;NFSe/infNFSe/DPS/infDPS/serv/obra/end/;endExt;Se o pais local da prestação do serviço de obra foi informado (cPaisPrestacao foi informado), então o grupo de informações de endereço no exterior deve ser informado.;;Obrig.;Rej.;E0384;O grupo de informações de endereço da atividade de obra ocorrido no exterior deve ser informado quando o país do local da prestação for informado na DPS.;1;V;X;V;X;-;;;
349;;;Se o município local da prestação do serviço de obra foi informado (cMunPrestacao foi informado), então o grupo de informações de endereço no exterior não pode ser informado.;;Obrig.;Rej.;E0386;O grupo de informações de endereço da atividade de obra ocorrido no exterior não deve ser informado quando o município do local da prestação for informado na DPS.;1;V;X;V;X;-;;;
350;NFSe/infNFSe/DPS/infDPS/serv/obra/end/endExt/;cEndPost;-;;-;-;-;;-;-;-;-;-;-;;;
351;NFSe/infNFSe/DPS/infDPS/serv/obra/end/endExt/;xCidade;-;;-;-;-;;-;-;-;-;-;-;;;
352;NFSe/infNFSe/DPS/infDPS/serv/obra/end/endExt/;xEstProvReg;-;;-;-;-;;-;-;-;-;-;-;;;
353;NFSe/infNFSe/DPS/infDPS/serv/obra/end/;xLgr;-;;-;-;-;;-;-;-;-;-;-;;;
354;NFSe/infNFSe/DPS/infDPS/serv/obra/end/;nro;-;;-;-;-;;-;-;-;-;-;-;;;
355;NFSe/infNFSe/DPS/infDPS/serv/obra/end/;xCpl;-;;-;-;-;;-;-;-;-;-;-;;;
356;NFSe/infNFSe/DPS/infDPS/serv/obra/end/;xBairro;-;;-;-;-;;-;-;-;-;-;-;;;
357;NFSe/infNFSe/DPS/infDPS/serv/;atvEvento;Se o código de tributação nacional pertencer ao item 12 da lista de serviços, então o grupo de informações de Atividade/Evento é obrigatório.;;Obrig.;Rej.;E0390;O grupo de informações de Atividade/Evento é obrigatório quando o código de tributação nacional pertencer ao item 12 da lista de serviços.;1;V;X;V;X;-;;;
358;;;"Se o código de tributação nacional não pertencer ao item 12 da lista de serviços, então o grupo de informações de Atividade/Evento não é permitido.
*Exceção: O grupo de informações de Atividade/Evento pode ser informado se o código de tributação nacional for o 99.01.01.";;Obrig.;Rej.;E0392;O grupo de informações de Atividade/Evento não é permitido quando o código de tributação nacional não pertencer ao item 12 da lista de serviços, com exceção do código 99.01.01.;1;V;X;V;X;-;;;
359;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/;xNome;-;;-;-;-;-;-;-;-;-;-;-;;;
360;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/;dtIni;-;;-;-;-;-;-;-;-;-;-;-;;;
361;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/;dtFim;-;;-;-;-;-;-;-;-;-;-;-;;;
362;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/;idAtvEvt;-;;-;-;-;-;-;-;-;-;-;-;;;
363;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/;end;-;;-;-;-;-;-;-;-;-;-;-;;;
364;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/;CEP;Se o município local da prestação da atividade de evento foi informado (cMunPrestacao foi informado), então o CEP deve ser informado e pertencer a este município.;;Obrig.;Rej.;E0398;Informe um CEP correspondente ao município do local da prestação do serviço informado nesta DPS para indicar corretamente o endereço da atividade ou evento.;1;V;X;V;X;-;;;
365;;;Se o pais local da prestação da atividade de evento foi informado (cPaisPrestacao foi informado), então o CEP não deve ser informado.;;Obrig.;Rej.;E0400;O CEP não deve ser informado quando o endereço da atividade de evento ocorrer no exterior do país.;1;V;X;V;X;-;;;
366;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/;endExt;Se o pais da prestação da atividade de evento foi informado (cPaisPrestacao foi informado), então o grupo de informações do endereço no exterior deve ser informado.;;Obrig.;Rej.;E0402;O grupo de informações de endereço da atividade de evento ocorrido no exterior deve ser informado quando o país do local da prestação for informado na DPS.;1;V;X;V;X;-;;;
367;;;Se o município local da prestação da atividade de evento foi informado (cMunPrestacao foi informado), então o grupo de informações  do endereço no exterior não deve ser informado.;;Obrig.;Rej.;E0404;O grupo de informações de endereço da atividade de evento ocorrido no exterior não deve ser informado quando o município do local da prestação for informado na DPS.;1;V;X;V;X;-;;;
368;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/endExt/;cEndPost;-;;-;-;-;-;-;-;-;-;-;-;;;
369;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/endExt/;xCidade;-;;-;-;-;-;-;-;-;-;-;-;;;
370;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/endExt/;xEstProvReg;-;;-;-;-;-;-;-;-;-;-;-;;;
371;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/;xLgr;-;;-;-;-;-;-;-;-;-;-;-;;;
372;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/;nro;-;;-;-;-;-;-;-;-;-;-;-;;;
373;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/;xCpl;-;;-;-;-;-;-;-;-;-;-;-;;;
374;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/;xBairro;-;;-;-;-;-;-;-;-;-;-;-;;;
375;NFSe/infNFSe/DPS/infDPS/serv;infoComplem;-;;-;-;-;-;-;-;-;-;-;-;;;
376;NFSe/infNFSe/DPS/infDPS/serv/;idDocTec;-;;-;-;-;-;-;-;-;-;-;-;;;
377;NFSe/infNFSe/DPS/infDPS/serv/;docRef;Quando o emitente da DPS for o tomador ou o intermediário do serviço (tpEmit = 2  ou 3, respectivamente) este campo deve ser obrigatoriamente informado.;;Obrig.;Rej.;E0420;O documento de referência deve ser obrigatoriamente informado quando o emitente da DPS for o tomador ou intermediário do serviço.;1;V;X;V;X;-;;;
378;NFSe/infNFSe/DPS/infDPS/serv/infoCompl/;xPed;-;;-;-;;-;-;-;-;-;-;-;;;
379;NFSe/infNFSe/DPS/infDPS/serv/infoCompl/;gItemPed;-;;-;-;;-;-;-;-;-;-;-;;;
380;NFSe/infNFSe/DPS/infDPS/serv/infoCompl/gItemPed/;xItemPed;-;;-;-;;-;-;-;-;-;-;-;;;
381;NFSe/infNFSe/DPS/infDPS/serv/;xInfComp;-;;-;-;;-;-;-;-;-;-;-;;;
382;NFSe/infNFSe/DPS/infDPS/;valores;-;;-;-;;-;-;-;-;-;-;-;;;
383;NFSe/infNFSe/DPS/infDPS/valores/;vServPrest;-;;-;-;;-;-;-;-;-;-;-;;;
384;NFSe/infNFSe/DPS/infDPS/valores/vServPrest/;vReceb;O valor recebido deve ser informado na DPS quando o intermediário do serviço for o emitente da DPS (tpEmit = 3).;;Obrig.;Rej.;E0423;O valor recebido deve ser informado na DPS quando o intermediário do serviço for o emitente da DPS.;1;V;X;V;X;-;;;
385;;;"O valor recebido não deve ser informado na DPS quando o prestador ou tomador do serviço for o emitente da DPS 
(tpEmit = 1 ou tpEmit = 2).";;Obrig.;Rej.;E0424;O valor recebido não deve ser informado na DPS quando o prestador ou tomador do serviço for o emitente da DPS.;1;V;X;V;X;-;;;
386;;;O valor recebido não pode ser menor que o valor do serviço informado na DPS.;;Obrig.;Rej.;E0425;O valor recebido não pode ser menor que o valor do serviço informado na DPS.;1;V;X;V;X;-;;;
387;NFSe/infNFSe/DPS/infDPS/valores/vServPrest/;vServ;"vDR é:
um valor informado pelo emitente para dedução/redução da BC do ISSQN;

vCalcDR é:
o cálculo do valor de dedução/redução da BC do ISSQN:

1) Quando o valor de dedução/redução for apurado a partir de um percentual informado na DPS, calcular este percentual sobre o valor do serviço já abatido o valor do desconto incondicionado.
Ex: 
Valor de dedução/redução = (Valor do serviço - valor desconto incodicional) x 
% de dedução/redução.

VServ >= desconto incondicionado + Valor de dedução/redução

2) Quando um ou mais documentos são informados pelo emitente na DPS para dedução/redução da BC do ISSQN. 
Neste caso o resultado do somatório é o valor deste campo do leiaute NFS-e;

---------------------------

vInfoBM é:
um valor informado pelo emitente para reduzir a BC do ISSQN;

VCalcBM é:
o cálculo do valor de redução da BC do ISSQN a partir de benefício municipal:

1) Quando o valor do benefício municipal for apurado a partir de um percentual parametrizado para redução da base de cálculo, aplicar o percentual parametrizado sobre o valor do serviço já abatidos os valores do desconto incondicionado e dedução/redução.

Ex: 
Valor de benefício municipal = (Valor do serviço - valor desconto incodicional - valor de dedução/redução) x % de benefício municipal.

VServ >= desconto incondicionado + Valor de dedução/redução + valor de benefício municipal.

2) Quando um valor monetário de benefício municipal é informado pelo emitente na DPS para redução da BC do ISSQN.";"O valor do serviço deve ser maior ou igual ao somatório dos valores informados para Desconto Incondicionado, Deduções/Reduções e Benefício Municipal.

Valor do Serviço >= Desconto Incondicionado + Deduções/Reduções + Benefício Municipal

vServ >= descIncond + (vDR ou vCalcDR) + (vRedBCBM ou VCalcBM)";Obrig.;Rej.;E0427;O valor do serviço deve ser maior ou igual ao somatório dos valores informados para Desconto Incondicionado, Deduções/Reduções e Benefício Municipal.;2;V;X;V;X;-;;;
388;;;;"O valor do serviço deve ser maior ou igual ao somatório dos valores informados para Desconto Incondicionado, Desconto Condicionado, Deduções/Reduções, Benefício Municipal, valores de tributos devidos (CP, IRRF, CSLL), e valores dos tributos se retidos (PIS, COFINS, ISSQN).

Valor do serviço >= Desconto condicionado + Desconto incondicionado + (CP, IRRF, CSLL)* + Valores, se retidos (ISSQN, PIS, COFINS)**

vServ >= vDescIncond + vDescCond + (vRetCP + vRetIRRF + vRetCSLL)* + vISSQN**

*Para o resultado do Valor Líquido o CP, IRRF e CSLL serão sempre subtraídos, se constarem na DPS, pois sempre são retidos.

**Para o resultado do Valor Líquido o ISSQN, somente será subtraído quando for retido.";Obrig.;Rej.;E0428;O valor do serviço deve ser maior ou igual ao somatório dos valores informados para Desconto Incondicionado, Desconto Condicionado, Deduções/Reduções, Benefício Municipal, valores de tributos devidos CP, IRRF, CSLL e ISSQN se o valor deste tributo for retido.;2;V;X;V;X;-;;;
389;;;;"O ISSQN não pode ser objeto de redução de base de cálculo que resulte em carga tributária menor que a decorrente da aplicação da alíquota mínima de 2,0% do valor do serviço, exceto para os serviços a que se referem os subitens:
042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301.

O valor da base de cálculo do ISSQN da NFS-e é encontrada a partir de valores que constam na DPS através do seguinte cálculo:

Valor da Base de Cálculo do ISSQN = Valor do Serviço - Deduções/Reduções - Benefício Municipal

vBC = vServ - (vDR ou vCalcDR) - (vInfoBM ou VCalcBM)";Obrig.;Rej.;E0429;O ISSQN não pode ser objeto de redução de base de cálculo que resulte em carga tributária menor que a decorrente da aplicação da alíquota mínima de 2,0% do valor do serviço, exceto para os serviços a que se referem aos subitens 042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301, da lista de serviços nacional do Sistema Nacional NFS-e.;2;V;X;V;X;-;;;
390;NFSe/infNFSe/DPS/infDPS/valores/;vDescCondIncond;-;;-;-;-;-;-;-;-;-;-;-;;;
391;NFSe/infNFSe/DPS/infDPS/valores/vDescCondIncond/;vDescIncond;Verificar o valor do desconto incondicionado informado na DPS que deve ser menor que o valor do serviço e maior que zero.;;Obrig.;Rej.;E0431;O valor do desconto incondicionado informado na DPS deve ser menor que o valor do serviço e maior que zero.;2;V;X;V;X;-;;;
392;NFSe/infNFSe/DPS/infDPS/valores/vDescCondIncond/;vDescCond;Verificar se o valor do desconto condicionado informado na DPS deve ser menor que o valor do serviço e maior que zero.;;Obrig.;Rej.;E0432;O valor do desconto condicionado informado na DPS deve ser menor que o valor do serviço e maior que zero.;2;V;X;V;X;-;;;
393;NFSe/infNFSe/DPS/infDPS/valores/;vDedRed;"Não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução para o ISSQN quando ocorrer ""Imunidade"" (tribISSQN = 2), ""Exportação de serviço"" (tribISSQN = 3) ou ""Não incidência"" (tribISSQN = 4), ou seja, tpRetISSQN tem que ser igual a 1 (tpRetISSQN = 1).";;Obrig.;Rej.;E0435;Não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução do ISSQN quando ocorrer Imunidade, Exportação do serviço ou Não incidência.;2;V;X;V;X;-;;;
394;;;Não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução para o ISSQN quando o prestador do serviço é MEI (opSimpNac = 2).;;Obrig.;Rej.;E0436;Não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução do ISSQN quando o prestador de serviço é MEI.;2;V;X;V;X;-;;;
395;;;Não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução para o ISSQN, quando o prestador de serviço tiver um regime especial de tributação, ou seja, o campo que indica o regime especial de tributação é diferente de 0, (regEspTrib = 1, 2, 3, 4, 5, 6 ou 9).;;Obrig.;Rej.;E0438;Não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução do ISSQN, quando o prestador de serviço tiver algum regime especial de tributação.;2;V;X;V;X;-;;;
396;;;"Não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução para o ISSQN, quando o benefício municipal informado na DPS for do tipo ""Isenção"".";;Obrig.;Rej.;E0439;"Não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução do ISSQN, quando o benefício municipal informado na DPS for do tipo ""Isenção"".";2;V;X;V;X;-;;;
397;;;"Se o prestador de serviço não for optante do Simples Nacional (opSimpNac = 1) e a situação do convênio do município de incidência do ISSQN no Sistema Nacional NFS-e for ""Ativo"", então o sistema permite informações de dedução/redução, conforme admissões dos tipos de dedução/redução nas parametrizações dos respectivos códigos de serviço administrado pelo municipio de incidência do ISSQN no Sistema Nacional NFS-e.";;Obrig.;Rej.;E0440;O tipo de dedução/redução informado na DPS não é permitida pelo município de incidência do ISSQN, conforme parametrizações do código de serviço do município de incidência.;2;V;X;X;X;-;;;
398;;;"Se o prestador do serviço é ME/EPP (opSimpNac = 3), o regime de apuração ocorre pelo SN (regApTribSN = 1) e o municipio de incidência está ""Ativo"", 
então não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução, 
exceto quando o código de tributação nacional (cTribNac) corresponder aos subitens:
042201, 042301, 050901, 060101, 060201, 070201, 070202, 070501 ,070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301.

Neste cenário, o sistema verifica a parametrização e permite o preenchimento das informações conforme admissões dos tipos de dedução/redução nas parametrizações destes respectivos códigos de serviço acima listados, administradas pelo municipio de incidência do ISSQN no Sistema Nacional NFS-e.";;Obrig.;Rej.;E0441;Não é permitido o preenchimento de informações relativas à Dedução/Redução para o prestador de serviço ME/EPP, apurando pelo SN conforme parametrização do código de serviço admnistrado pelo municipio de incidência do ISSQN.;2;V;X;X;X;-;;;
399;;;"Se o prestador do serviço é ME/EPP (opSimpNac = 3), o regime de apuração ocorre pelo SN (regApTribSN = 1) e o municipio de incidência não está ""Ativo"", 
então não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução, 
exceto quando o código de tributação nacional (cTribNac) corresponder aos subitens:
042201, 042301, 050901, 060101, 060201, 070201, 070202, 070501 ,070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301.";;Obrig.;Rej.;E0442;O tipo de dedução/redução informado na DPS não é permitida para o prestador de serviço ME/EPP, apurando pelo SN.;2;V;X;V;X;-;;;
400;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/;pDR;Se informado, o valor percentual para dedução/redução deve ser maior 0 e menor ou igual a 100%.;;Obrig.;Rej.;E0453;O valor percentual para dedução/redução deve ser maior que 0 e menor ou igual a 100%.;1;V;X;V;X;-;;;
401;;;Código de serviço informado na DPS não permite dedução/redução na base de cálculo do ISSQN por percentual, conforme parametrização do município de incidência conveniado ao Sistema Nacional NFS-e.;;Obrig.;Rej.;E0454;Código de serviço informado na DPS não permite dedução/redução na base de cálculo do ISSQN por percentual.;3;V;X;X;X;-;;;
